timestamp,latitude,longitude,altitude,easting,northing,zone_number,zone_letter
1743804586106039328,-12.015835055270271,-77.05305091681538,143.0260060464223,276475.8137272133,8670861.380315416,18,L
1743804586202280128,-12.015833033653433,-77.05304444038565,143.03265032876325,276476.51745131955,8670861.609258411,18,L
1743804586306360192,-12.015831049959663,-77.05303800004027,143.0358834482357,276477.21727654955,8670861.83397612,18,L
1743804586411781536,-12.015829122832574,-77.05303124334726,142.98593791942574,276477.9516041369,8670862.052692216,18,L
1743804586498597952,-12.015827198396694,-77.05302478390635,142.98725238744106,276478.65355814237,8670862.27086891,18,L
1743804586600731008,-12.015825313561043,-77.05301826360626,142.98870035987406,276479.3621734538,8670862.484713549,18,L
1743804586698118400,-12.01582345919704,-77.05301170121365,142.98985788561586,276480.07539852627,8670862.695220893,18,L
1743804586801267968,-12.015821620439427,-77.0530051185473,142.99193672420327,276480.7908446456,8670862.904017953,18,L
1743804586890561216,-12.015820027319434,-77.05299849931687,142.99195150776745,276481.5104760447,8670863.085666517,18,L
1743804586998453280,-12.01581828424621,-77.05299191839124,142.9940554017353,276482.22581159207,8670863.283875272,18,L
1743804587082263040,-12.015816546859565,-77.05298532200146,142.9975490130997,276482.94283614936,8670863.481467394,18,L
1743804587211018656,-12.015814826716477,-77.05297867218798,143.00008414175673,276483.6656937015,8670863.677195035,18,L
1743804587271113952,-12.0158131250103,-77.05297198111136,143.00183950798342,276484.39306074474,8670863.870916272,18,L
1743804587371108288,-12.015811277966755,-77.05296580115805,142.92689058227165,276485.06463775795,8670864.080302676,18,L
1743804587473737216,-12.015809627248224,-77.05295912464454,142.92848409226738,276485.79046073963,8670864.26837059,18,L
1743804587590059840,-12.01580800372856,-77.05295248753387,142.93096136354515,276486.5120145471,8670864.453397078,18,L
1743804587693807424,-12.015806412147809,-77.05294588092427,142.93536460259088,276487.2302726473,8670864.634864928,18,L
1743804587801464064,-12.015804841098268,-77.05293924207928,142.93685318180053,276487.9520586899,8670864.814087315,18,L
1743804587898661664,-12.015803433631689,-77.05293259210774,142.93793423382743,276488.6751916695,8670864.975219341,18,L
1743804588017228416,-12.015801950962247,-77.05292593099227,142.94255567769255,276489.399476327,8670865.144681111,18,L
1743804588105159296,-12.01580048692969,-77.05291932535583,142.94558077465854,276490.1177337703,8670865.312035719,18,L
1743804588223863936,-12.015799073760904,-77.05291276155552,142.94658587970648,276490.83147654624,8670865.473728562,18,L
1743804588294658592,-12.015797698425159,-77.0529062310988,142.9496562686129,276491.5416188777,8670865.631208308,18,L
1743804588406940992,-12.015795620800263,-77.05290108163875,142.81950283940552,276492.1007673179,8670865.865269292,18,L
1743804588503729536,-12.015794286213614,-77.05289459588458,142.82146062135212,276492.80607444,8670866.01820405,18,L
1743804588607634080,-12.015792983093277,-77.05288814913442,142.82455339864708,276493.50715934386,8670866.167625548,18,L
1743804588714132544,-12.015791725292475,-77.05288174601709,142.82730505751945,276494.2035293119,8670866.311997253,18,L
1743804588794925856,-12.015790480665775,-77.05287540646333,142.8289682400958,276494.8929870097,8670866.454859653,18,L
1743804588894955808,-12.01578927870256,-77.0528691236885,142.8231399140499,276495.5762957416,8670866.592955451,18,L
1743804589005026976,-12.015788101332598,-77.0528628052327,142.825922420127,276496.2635110497,8670866.72835915,18,L
1743804589107146048,-12.015786947374687,-77.05285646570773,142.8281848471014,276496.9530404821,8670866.861189567,18,L
1743804589212007840,-12.015785822483272,-77.05285011688554,142.8302536434747,276497.6436065419,8670866.990811504,18,L
1743804589301385632,-12.015784711198878,-77.05284377989904,142.8335738311684,276498.332894732,8670867.118918277,18,L
1743804589412555584,-12.015783650255775,-77.05283748500827,142.83514662407308,276499.0176395468,8670867.241420887,18,L
1743804589498381056,-12.01578134915442,-77.05283150056283,142.65387643210684,276499.6675476661,8670867.50088656,18,L
1743804589610624768,-12.015780272356784,-77.05282527164461,142.6563121487092,276500.34509386437,8670867.625089718,18,L
1743804589698637088,-12.01577920694075,-77.05281903689392,142.65542794585164,276501.0232847186,8670867.7480383,18,L
1743804589789895264,-12.015778142828907,-77.05281283640541,142.6536323157964,276501.6977449205,8670867.870814718,18,L
1743804589897174272,-12.015777069540123,-77.05280672100164,142.65421153022754,276502.3629303683,8670867.994537339,18,L
1743804590015993952,-12.015775992563011,-77.05280078011556,142.6520008714003,276503.00910482835,8670868.118526194,18,L
1743804590116918560,-12.015774896190473,-77.0527949363382,142.65001809591263,276503.6446864853,8670868.244582089,18,L
1743804590211663808,-12.015773811770453,-77.05278920489557,142.65055260789103,276504.2680428497,8670868.369224204,18,L
1743804590284420096,-12.015772737548046,-77.05278357490337,142.6534933658792,276504.8803579543,8670868.492655553,18,L
1743804590424295072,-12.015771634993417,-77.05277804197476,142.65262421218654,276505.4820777967,8670868.619142776,18,L
1743804590492876800,-12.015769765861739,-77.0527734946986,142.659129694679,276505.9758104144,8670868.829645654,18,L
1743804590603859424,-12.01576858681417,-77.05276824188472,142.65935243177685,276506.546957848,8670868.964368641,18,L
1743804590706445536,-12.015767394392505,-77.05276315421115,142.6624366864405,276507.1001076527,8670869.10043716,18,L
1743804590799546752,-12.015766181080279,-77.05275826136317,142.66483504615982,276507.63202038687,8670869.238658734,18,L
1743804590906849664,-12.01576492793788,-77.0527535325907,142.6660845808357,276508.14602962474,8670869.381153896,18,L
1743804591008681792,-12.01576371319849,-77.05274897414827,142.6698926754774,276508.6415187289,8670869.519261578,18,L
1743804591112418464,-12.015762331182687,-77.05274452143902,142.6731755732214,276509.12535359163,8670869.67579136,18,L
1743804591195982432,-12.015760844639562,-77.052740171661,142.6749021246439,276509.5978911983,8670869.843802743,18,L
1743804591299869152,-12.015759221650226,-77.05273594054502,142.67569140039575,276510.0573918432,8670870.02681456,18,L
1743804591405663296,-12.015757448395647,-77.05273182417058,142.67700116530557,276510.5042711249,8670870.22635898,18,L
1743804591501725888,-12.01575500222441,-77.05272814525145,142.65426851048537,276510.9029485277,8670870.50000169,18,L
1743804591607347008,-12.015752988670355,-77.05272422471454,142.6584772804914,276511.3282993919,8670870.7259745,18,L
1743804591692116032,-12.015750884113332,-77.0527204339222,142.66252976306703,276511.7394437377,8670870.961910743,18,L
1743804591799749248,-12.015748688271957,-77.05271678805632,142.6663558349136,276512.13472776767,8670871.20782921,18,L
1743804591891033472,-12.015746391689657,-77.05271332520911,142.6700987503701,276512.5099947818,8670871.464745257,18,L
1743804591992791296,-12.01574413210876,-77.05271004652374,142.67668833861072,276512.8652339904,8670871.717417667,18,L
1743804592104732512,-12.015741671987078,-77.05270701999801,142.68084320134898,276513.19284315937,8670871.992073664,18,L
1743804592213095648,-12.015739149548345,-77.05270424039172,142.686431727513,276513.4935071566,8670872.27342396,18,L
1743804592296818048,-12.01573656859385,-77.05270169954719,142.69062863183794,276513.76811762905,8670872.561054599,18,L
1743804592398045088,-12.015733936153266,-77.0526993779311,142.69286445855576,276514.0188078844,8670872.854203664,18,L
1743804592488565824,-12.015730056610696,-77.05269664444256,142.64186245368302,276514.313328497,8670873.285671115,18,L
1743804592607969888,-12.015727222842395,-77.05269465113956,142.64471795414897,276514.5280936671,8670873.60082895,18,L
1743804592703797248,-12.015724253026919,-77.05269284455217,142.64243894581642,276514.72241001425,8670873.930887766,18,L
